dataset,method,depth,leaves,cpu_time,rf_acc,ba_acc,rf_ba_agreement
Breast-Cancer-Wisconsin,beam,14.3,181.6,0.7692555000000001,0.9575021312872976,0.6504262574595056,0.6459931798806479
Breast-Cancer-Wisconsin,beam_balance,14.1,185.6,0.7553313,0.9575021312872976,0.6504262574595056,0.6459931798806479
Breast-Cancer-Wisconsin,beam_lookahead,12.5,135.6,0.8717535,0.9575021312872976,0.6504262574595056,0.6459931798806479
Breast-Cancer-Wisconsin,dp,10.8,81.9,0.8901289,0.9575021312872976,0.9473358908780904,0.9810528559249787
Breast-Cancer-Wisconsin,greedy,12.3,140.8,0.013277,0.9575021312872976,0.9473358908780904,0.9810528559249787
COMPAS-ProPublica,beam,7.2,20.9,0.0090159,0.6578883785314289,0.5372780469389039,0.617920677866566
COMPAS-ProPublica,beam_balance,7.2,22.5,0.0099138,0.6578883785314289,0.5372780469389039,0.617920677866566
COMPAS-ProPublica,beam_lookahead,7.1,19.5,0.012441299999999999,0.6578883785314289,0.5372780469389039,0.617920677866566
COMPAS-ProPublica,dp,6.8,16.9,0.0040236000000000004,0.6578883785314289,0.6567281192978041,0.9698768850017828
COMPAS-ProPublica,greedy,7.1,18.5,0.000623,0.6578883785314289,0.6567281192978041,0.9698768850017828
CVD-1,beam,11.6,134.1,0.5662282000000001,0.943,0.42000000000000004,0.413
CVD-1,beam_balance,11.2,138.9,0.5913667,0.943,0.42000000000000004,0.413
CVD-1,beam_lookahead,11.0,131.4,0.9245136,0.943,0.42000000000000004,0.413
CVD-1,dp,9.0,64.4,0.6579789,0.943,0.916,0.9349999999999999
CVD-1,greedy,10.7,132.3,0.009450700000000001,0.943,0.916,0.9349999999999999
FICO,beam,6.4,16.9,0.009082799999999999,0.6919431509418427,0.5219362895331497,0.5506247541328552
FICO,beam_balance,6.5,18.7,0.0097888,0.6919431509418427,0.5219362895331497,0.5506247541328552
FICO,beam_lookahead,6.3,15.3,0.0112315,0.6919431509418427,0.5219362895331497,0.5506247541328552
FICO,dp,6.3,14.7,0.003661,0.6919431509418427,0.6928032056501413,0.9639570201359474
FICO,greedy,6.3,14.7,0.0007476,0.6919431509418427,0.6928032056501413,0.9639570201359474
HTRU2,beam,4.4,7.4,0.0012858,0.9764792290565248,0.9084340991346872,0.9184337556326525
HTRU2,beam_balance,4.3,7.9,0.0012076,0.9764792290565248,0.9084340991346872,0.9184337556326525
HTRU2,beam_lookahead,4.2,6.2,0.0012347,0.9764792290565248,0.9084340991346872,0.9184337556326525
HTRU2,dp,4.1,6.2,0.0005091,0.9764792290565248,0.9768144558147087,0.9968714771524306
HTRU2,greedy,4.3,6.4,0.0004696,0.9764792290565248,0.9768144558147087,0.9968714771524306
Pima-Diabetes,beam,10.3,51.7,0.0482707,0.7487354750512646,0.6510252904989746,0.7669514695830486
Pima-Diabetes,beam_balance,10.4,50.8,0.048841,0.7487354750512646,0.6510252904989746,0.7669514695830486
Pima-Diabetes,beam_lookahead,10.5,45.4,0.0625762,0.7487354750512646,0.6510252904989746,0.7669514695830486
Pima-Diabetes,dp,10.0,35.8,0.029403599999999995,0.7487354750512646,0.7422248803827751,0.9310833902939166
Pima-Diabetes,greedy,9.3,44.5,0.0021877,0.7487354750512646,0.7422248803827751,0.9310833902939166
Seeds,beam,10.0,59.5,0.05177620000000001,0.780952380952381,0.33333333333333337,0.38095238095238093
Seeds,beam_balance,9.7,56.8,0.0455456,0.780952380952381,0.33333333333333337,0.38095238095238093
Seeds,beam_lookahead,9.7,44.8,0.050161199999999996,0.780952380952381,0.33333333333333337,0.38095238095238093
Seeds,dp,8.3,35.6,0.025219799999999997,0.780952380952381,0.7904761904761906,0.9619047619047618
Seeds,greedy,9.2,44.5,0.0013204,0.780952380952381,0.7904761904761906,0.9619047619047618
