dataset,fold,method,objective,depth,splits,leaves,cpu_time,nb_cells,nb_subproblems,nb_recursive_calls,rf_acc,ba_acc,rf_ba_agreement
Breast-Cancer-Wisconsin,1,dp,1,10,69,70,0.148147,2592,335171.0,1828897.0,0.927536231884058,0.8695652173913043,0.9130434782608695
Breast-Cancer-Wisconsin,1,greedy,6,11,105,106,0.003812,2592,0.0,0.0,0.927536231884058,0.8695652173913043,0.9130434782608695
Breast-Cancer-Wisconsin,1,beam,7,15,210,211,0.450618,2592,0.0,0.0,0.927536231884058,0.5072463768115942,0.5217391304347826
Breast-Cancer-Wisconsin,2,dp,1,12,109,110,1.86104,8640,2665750.0,16347189.0,0.9855072463768116,0.9710144927536232,0.9855072463768116
Breast-Cancer-Wisconsin,2,greedy,6,15,242,243,0.017872,8640,0.0,0.0,0.9855072463768116,0.9710144927536232,0.9855072463768116
Breast-Cancer-Wisconsin,2,beam,7,16,293,294,0.808951,8640,0.0,0.0,0.9855072463768116,0.6086956521739131,0.6231884057971014
Breast-Cancer-Wisconsin,3,dp,1,13,115,116,2.36694,14400,6397732.0,37909967.0,0.9855072463768116,0.9710144927536232,0.9855072463768116
Breast-Cancer-Wisconsin,3,greedy,6,12,200,201,0.028695,14400,0.0,0.0,0.9855072463768116,0.9710144927536232,0.9855072463768116
Breast-Cancer-Wisconsin,3,beam,7,16,192,193,1.54421,14400,0.0,0.0,0.9855072463768116,0.5942028985507246,0.5797101449275363
Breast-Cancer-Wisconsin,4,dp,1,11,131,132,4.41089,13824,5603545.0,35598167.0,0.9264705882352942,0.8970588235294118,0.9705882352941176
Breast-Cancer-Wisconsin,4,greedy,6,13,226,227,0.027454,13824,0.0,0.0,0.9264705882352942,0.8970588235294118,0.9705882352941176
Breast-Cancer-Wisconsin,4,beam,7,16,308,309,1.88045,13824,0.0,0.0,0.9264705882352942,0.4411764705882353,0.4264705882352941
Breast-Cancer-Wisconsin,5,dp,1,9,41,42,0.028202,1280,105477.0,563769.0,0.8970588235294118,0.8823529411764706,0.9852941176470589
Breast-Cancer-Wisconsin,5,greedy,6,10,53,54,0.001651,1280,0.0,0.0,0.8970588235294118,0.8823529411764706,0.9852941176470589
Breast-Cancer-Wisconsin,5,beam,7,12,57,58,0.031509,1280,0.0,0.0,0.8970588235294118,0.5294117647058824,0.5441176470588235
Breast-Cancer-Wisconsin,6,dp,1,9,40,41,0.25322,3840,679752.0,3667407.0,0.9264705882352942,0.9411764705882353,0.9852941176470589
Breast-Cancer-Wisconsin,6,greedy,6,10,43,44,0.005356,3840,0.0,0.0,0.9264705882352942,0.9411764705882353,0.9852941176470589
Breast-Cancer-Wisconsin,6,beam,7,11,58,59,0.132041,3840,0.0,0.0,0.9264705882352942,0.7647058823529411,0.6911764705882353
Breast-Cancer-Wisconsin,7,dp,1,12,109,110,0.848141,9216,2542357.0,14570581.0,0.9558823529411765,0.9705882352941176,0.9852941176470589
Breast-Cancer-Wisconsin,7,greedy,6,14,235,236,0.017582,9216,0.0,0.0,0.9558823529411765,0.9705882352941176,0.9852941176470589
Breast-Cancer-Wisconsin,7,beam,7,17,340,341,1.34945,9216,0.0,0.0,0.9558823529411765,0.7058823529411765,0.7205882352941176
Breast-Cancer-Wisconsin,8,dp,1,10,83,84,0.556462,5832,1117606.0,5783413.0,1.0,1.0,1.0
Breast-Cancer-Wisconsin,8,greedy,6,13,141,142,0.021505,5832,0.0,0.0,1.0,1.0,1.0
Breast-Cancer-Wisconsin,8,beam,7,15,181,182,0.70951,5832,0.0,0.0,1.0,0.8676470588235294,0.8676470588235294
Breast-Cancer-Wisconsin,9,dp,1,13,70,71,0.132579,2592,335620.0,1863019.0,0.9852941176470589,0.9852941176470589,1.0
Breast-Cancer-Wisconsin,9,greedy,6,13,90,91,0.006006,2592,0.0,0.0,0.9852941176470589,0.9852941176470589,1.0
Breast-Cancer-Wisconsin,9,beam,7,13,101,102,0.185874,2592,0.0,0.0,0.9852941176470589,0.6764705882352942,0.6911764705882353
Breast-Cancer-Wisconsin,10,dp,1,9,42,43,0.101672,2160,270444.0,1413383.0,0.9852941176470589,0.9852941176470589,1.0
Breast-Cancer-Wisconsin,10,greedy,6,12,63,64,0.003745,2160,0.0,0.0,0.9852941176470589,0.9852941176470589,1.0
Breast-Cancer-Wisconsin,10,beam,7,12,66,67,0.117802,2160,0.0,0.0,0.9852941176470589,0.8088235294117647,0.7941176470588235
COMPAS-ProPublica,1,dp,1,7,14,15,0.000928,128,1941.0,6933.0,0.6772793053545586,0.6657018813314037,0.9623733719247467
COMPAS-ProPublica,1,greedy,6,7,14,15,0.000442,128,0.0,0.0,0.6772793053545586,0.6657018813314037,0.9623733719247467
COMPAS-ProPublica,1,beam,7,7,16,17,0.002661,128,0.0,0.0,0.6772793053545586,0.5369030390738061,0.5933429811866859
COMPAS-ProPublica,2,dp,1,8,13,14,0.006614,512,18727.0,77205.0,0.6685962373371924,0.683068017366136,0.9536903039073806
COMPAS-ProPublica,2,greedy,6,8,13,14,0.000483,512,0.0,0.0,0.6685962373371924,0.683068017366136,0.9536903039073806
COMPAS-ProPublica,2,beam,7,8,14,15,0.003942,512,0.0,0.0,0.6685962373371924,0.5716353111432706,0.6714905933429812
COMPAS-ProPublica,3,dp,1,7,10,11,0.000946,128,2034.0,7503.0,0.6541244573082489,0.6526772793053546,0.9725036179450073
COMPAS-ProPublica,3,greedy,6,7,10,11,0.000222,128,0.0,0.0,0.6541244573082489,0.6526772793053546,0.9725036179450073
COMPAS-ProPublica,3,beam,7,7,12,13,0.002463,128,0.0,0.0,0.6541244573082489,0.5672937771345875,0.5426917510853835
COMPAS-ProPublica,4,dp,1,6,9,10,0.000649,128,1921.0,6731.0,0.658465991316932,0.6555716353111433,0.9942112879884226
COMPAS-ProPublica,4,greedy,6,6,9,10,0.000246,128,0.0,0.0,0.658465991316932,0.6555716353111433,0.9942112879884226
COMPAS-ProPublica,4,beam,7,6,9,10,0.001206,128,0.0,0.0,0.658465991316932,0.5180897250361794,0.6049204052098408
COMPAS-ProPublica,5,dp,1,8,28,29,0.007043,512,18710.0,83175.0,0.6034732272069464,0.6034732272069464,0.9913169319826338
COMPAS-ProPublica,5,greedy,6,9,34,35,0.000744,512,0.0,0.0,0.6034732272069464,0.6034732272069464,0.9913169319826338
COMPAS-ProPublica,5,beam,7,9,34,35,0.018826,512,0.0,0.0,0.6034732272069464,0.5253256150506512,0.6439942112879884
COMPAS-ProPublica,6,dp,1,7,33,34,0.002093,256,6115.0,25907.0,0.6555716353111433,0.662807525325615,0.975397973950796
COMPAS-ProPublica,6,greedy,6,7,34,35,0.000568,256,0.0,0.0,0.6555716353111433,0.662807525325615,0.975397973950796
COMPAS-ProPublica,6,beam,7,8,47,48,0.013289,256,0.0,0.0,0.6555716353111433,0.5238784370477568,0.5904486251808972
COMPAS-ProPublica,7,dp,1,5,5,6,0.000395,32,208.0,667.0,0.6526772793053546,0.6526772793053546,1.0
COMPAS-ProPublica,7,greedy,6,5,5,6,0.000412,32,0.0,0.0,0.6526772793053546,0.6526772793053546,1.0
COMPAS-ProPublica,7,beam,7,5,5,6,0.000497,32,0.0,0.0,0.6526772793053546,0.5383502170767004,0.7004341534008683
COMPAS-ProPublica,8,dp,1,5,5,6,0.000199,32,211.0,673.0,0.6666666666666666,0.663768115942029,0.991304347826087
COMPAS-ProPublica,8,greedy,6,5,5,6,0.000158,32,0.0,0.0,0.6666666666666666,0.663768115942029,0.991304347826087
COMPAS-ProPublica,8,beam,7,5,6,7,0.000531,32,0.0,0.0,0.6666666666666666,0.5304347826086957,0.6289855072463768
COMPAS-ProPublica,9,dp,1,8,16,17,0.009253,512,18803.0,77959.0,0.6826086956521739,0.6768115942028986,0.9884057971014493
COMPAS-ProPublica,9,greedy,6,9,21,22,0.00072,512,0.0,0.0,0.6826086956521739,0.6768115942028986,0.9884057971014493
COMPAS-ProPublica,9,beam,7,9,25,26,0.008721,512,0.0,0.0,0.6826086956521739,0.5420289855072464,0.5811594202898551
COMPAS-ProPublica,10,dp,1,7,26,27,0.007203,512,18334.0,76795.0,0.6594202898550725,0.6507246376811594,0.8695652173913043
COMPAS-ProPublica,10,greedy,6,8,30,31,0.001123,512,0.0,0.0,0.6594202898550725,0.6507246376811594,0.8695652173913043
COMPAS-ProPublica,10,beam,7,8,31,32,0.021758,512,0.0,0.0,0.6594202898550725,0.518840579710145,0.6217391304347826
